Wavenumber,Diamond_abs,A_defect_abs,B_defect_abs,C_defect_abs
600.019,0.0,0.0,0.0,0.0
601.225,0.101193,0.0,0.0,0.0
602.43,0.139065,0.0,0.0,0.0
603.636,0.169492,0.0,0.0,0.0
604.841,0.172321,0.0,0.0,0.0
606.046,0.154113,0.0,0.0,0.0
607.252,0.167001,0.0,0.0,0.0
608.457,0.217953,0.0,0.0,0.0
609.662,0.249087,0.0,0.0,0.0
610.868,0.260341,0.0,0.0,0.0
612.073,0.305672,0.0,0.0,0.0
613.278,0.3928,0.0,0.0,0.0
614.484,0.376101,0.0,0.0,0.0
615.689,0.383386,0.0,0.0,0.0
616.894,0.438493,0.0,0.0,0.0
618.1,0.410819,0.0,0.0,0.0
619.305,0.397768,0.0,0.0,0.0
620.51,0.465558,0.0,0.0,0.0
621.716,0.479207,0.0,0.0,0.0
622.921,0.446895,0.0,0.0,0.0
624.126,0.530776,0.0,0.0,0.0
625.332,0.526773,0.0,0.0,0.0
626.537,0.492948,0.0,0.0,0.0
627.742,0.593875,0.0,0.0,0.0
628.948,0.527174,0.0,0.0,0.0
630.153,0.528723,0.0,0.0,0.0
631.359,0.574844,0.0,0.0,0.0
632.564,0.540752,0.0,0.0,0.0
633.769,0.565446,0.0,0.0,0.0
634.975,0.590114,0.0,0.0,0.0
636.18,0.585915,0.0,0.0,0.0
637.385,0.602035,0.0,0.0,0.0
638.591,0.628984,0.0,0.0,0.0
639.796,0.632462,0.0,0.0,0.0
641.001,0.627991,0.0,0.0,0.0
642.207,0.643278,0.0,0.0,0.0
643.412,0.662723,0.0,0.0,0.0
644.617,0.678948,0.0,0.0,0.0
645.823,0.684641,0.0,0.0,0.0
647.028,0.701171,0.0,0.0,0.0
648.233,0.73005,0.0,0.0,0.0
649.439,0.733536,0.0,0.0,0.0
650.644,0.71524,0.0,0.0,0.0
651.849,0.768196,0.0,0.0,0.0
653.055,0.809396,0.0,0.0,0.0
654.26,0.730951,0.0,0.0,0.0
655.465,0.894729,0.0,0.0,0.0
656.671,0.845685,0.0,0.0,0.0
657.876,0.755195,0.0,0.0,0.0
659.081,0.941595,0.0,0.0,0.0
660.287,0.844734,0.0,0.0,0.0
661.492,0.779481,0.0,0.0,0.0
662.697,0.965769,0.0,0.0,0.0
663.903,0.864094,0.0,0.0,0.0
665.108,0.784612,0.0,0.0,0.0
666.313,1.06952,0.0,0.0,0.0
667.519,1.29157,0.0,0.0,0.0
668.724,0.964769,0.0,0.0,0.0
669.929,0.999484,0.0,0.0,0.0
671.135,0.911,0.0,0.0,0.0
672.34,0.842196,0.0,0.0,0.0
673.545,0.954973,0.0,0.0,0.0
674.751,0.915892,0.0,0.0,0.0
675.956,0.872561,0.0,0.0,0.0
677.161,0.918747,0.0,0.0,0.0
678.367,0.96011,0.0,0.0,0.0
679.572,0.919087,0.0,0.0,0.0
680.778,0.910915,0.0,0.0,0.0
681.983,1.0076,0.0,0.0,0.0
683.188,0.961618,0.0,0.0,0.0
684.394,0.928608,0.0,0.0,0.0
685.599,1.02092,0.0,0.0,0.0
686.804,0.992021,0.0,0.0,0.0
688.01,0.940091,0.0,0.0,0.0
689.215,1.02974,0.0,0.0,0.0
690.42,1.02931,0.0,0.0,0.0
691.625,0.949992,0.0,0.0,0.0
692.831,1.0108,0.0,0.0,0.0
694.036,1.04944,0.0,0.0,0.0
695.242,0.97924,0.0,0.0,0.0
696.447,1.01109,0.0,0.0,0.0
697.652,1.06165,0.0,0.0,0.0
698.858,1.0019,0.0,0.0,0.0
700.063,1.00867,0.0,0.0,0.0
701.268,1.07433,0.0,0.0,0.0
702.474,1.03069,0.0,0.0,0.0
703.679,1.01717,0.0,0.0,0.0
704.884,1.07881,0.0,0.0,0.0
706.09,1.05494,0.0,0.0,0.0
707.295,1.03342,0.0,0.0,0.0
708.5,1.08376,0.0,0.0,0.0
709.706,1.07587,0.0,0.0,0.0
710.911,1.04715,0.0,0.0,0.0
712.116,1.07744,0.0,0.0,0.0
713.322,1.08752,0.0,0.0,0.0
714.527,1.05846,0.0,0.0,0.0
715.732,1.07536,0.0,0.0,0.0
716.938,1.09401,0.0,0.0,0.0
718.143,1.07796,0.0,0.0,0.0
719.348,1.09697,0.0,0.0,0.0
720.554,1.11393,0.0,0.0,0.0
721.759,1.08894,0.0,0.0,0.0
722.965,1.09832,0.0,0.0,0.0
724.17,1.11749,0.0,0.0,0.0
725.375,1.10406,0.0001,0.0,0.0
726.581,1.10771,0.0001,0.0,0.0
727.786,1.12394,0.0001,0.0,0.0
728.991,1.11538,0.0001,0.0,0.0
730.197,1.11863,0.0001,0.0,0.0
731.402,1.13968,0.0001,0.0,0.0
732.607,1.12768,0.0001,0.0,0.0
733.813,1.12349,0.0001,0.0,0.0
735.018,1.1456,0.0001,0.0,0.0
736.223,1.13465,0.0001,0.0,0.0
737.429,1.12385,0.0001,0.0,0.0
738.634,1.15935,0.0001,0.0,0.0
739.839,1.16182,0.0001,0.0,0.0
741.045,1.13688,0.0001,0.0,0.0
742.25,1.16538,0.0001,0.0,0.0
743.455,1.18273,0.0001,0.0,0.0
744.661,1.14842,0.0001,0.0,0.0
745.866,1.16997,0.0001,0.0,0.0
747.071,1.20481,0.0001,0.0,0.0
748.277,1.16698,0.0001,0.0,0.0
749.482,1.17081,0.0001,0.0,0.0
750.687,1.2157,0.0001,0.0,0.0
751.893,1.18768,0.0001,0.0,0.0
753.098,1.16674,0.0001,0.0,0.0
754.303,1.21936,0.0001,0.0,0.0
755.509,1.2186,0.0001,0.0,0.0
756.714,1.17945,0.0001,0.0,0.0
757.919,1.22023,0.0001,0.0,0.0
759.125,1.24482,0.0001,0.0,0.0
760.33,1.19503,0.0001,0.0,0.0
761.535,1.21234,0.0001,0.0,0.0
762.741,1.25444,0.0001,0.0,0.0
763.946,1.21405,0.0001,0.0,0.0
765.151,1.20178,0.0001,0.0,0.0
766.357,1.2582,0.0001,0.0,0.0
767.562,1.24599,0.0001,0.0,0.0
768.768,1.20923,0.0001,0.0,0.0
769.973,1.25878,0.0001,0.0,0.0
771.178,1.27225,0.0001,0.0,0.0
772.384,1.21727,0.0001,0.0,0.0
773.589,1.24112,0.0001,0.0,0.0
774.794,1.28083,0.0001,0.0,0.0
776.0,1.2371,0.0001,0.0,0.0
777.205,1.23788,0.0001,0.0,0.0
778.41,1.29033,0.0001,0.0,0.0
779.615,1.26565,0.0001,0.0,0.0
780.821,1.23652,0.0001,0.0,0.0
782.026,1.28987,0.0001,0.0,0.0
783.232,1.29064,0.0001,0.0,0.0
784.437,1.24887,0.0001,0.0,0.0
785.642,1.28279,0.0002,0.0,0.0
786.848,1.30505,0.0002,0.0,0.0
788.053,1.26441,0.0002,0.0,0.0
789.258,1.27499,0.0002,0.0,0.0
790.464,1.31514,0.0002,0.0,0.0
791.669,1.28456,0.0002,0.0,0.0
792.874,1.27312,0.0002,0.0,0.0
794.08,1.31424,0.0002,0.0,0.0
795.285,1.30278,0.0002,0.0,0.0
796.49,1.27489,0.0002,0.0,0.0
797.696,1.30377,0.0002,0.0,0.0
798.901,1.30605,0.0002,0.0,0.0
800.106,1.27097,0.0002,0.0,0.0
801.312,1.28849,0.0002,0.0,0.0
802.517,1.30775,0.0002,0.0,0.0
803.722,1.27593,0.0002,0.0,0.0
804.928,1.26862,0.0002,0.0,0.0
806.133,1.2893,0.0002,0.0,0.0
807.338,1.27107,0.0002,0.0,0.0
808.544,1.25436,0.0002,0.0,0.0
809.749,1.27587,0.0002,0.0,0.0
810.955,1.27389,0.0002,0.0,0.0
812.16,1.24978,0.0002,0.0,0.0
813.365,1.26085,0.0002,0.0,0.0
814.571,1.27042,0.0002,0.0,0.0
815.776,1.25397,0.0002,0.0,0.0
816.981,1.25704,0.0002,0.0,0.0
818.187,1.26931,0.0003,0.0,0.0
819.392,1.25723,0.0003,0.0,0.0
820.597,1.24938,0.0003,0.0,0.0
821.803,1.25429,0.0003,0.0,0.0
823.008,1.24809,0.0003,0.0,0.0
824.213,1.23692,0.0003,0.0,0.0
825.419,1.23958,0.0003,0.0,0.0
826.624,1.24168,0.0003,0.0,0.0
827.829,1.23396,0.0003,0.0,0.0
829.035,1.23301,0.0003,0.0,0.0
830.24,1.23443,0.0003,0.0,0.0
831.445,1.22913,0.0003,0.0,0.0
832.651,1.23187,0.0003,0.0,0.0
833.856,1.23392,0.0003,0.0,0.0
835.061,1.23269,0.0003,0.0,0.0
836.267,1.23024,0.0003,0.0,0.0
837.472,1.23151,0.0003,0.0,0.0
838.677,1.23265,0.0003,0.0,0.0
839.883,1.23208,0.0003,0.0,0.0
841.088,1.23407,0.0004,0.0,0.0
842.293,1.23819,0.0004,0.0,0.0
843.499,1.23688,0.0004,0.0,0.0
844.704,1.23761,0.0004,0.0,0.0
845.909,1.24145,0.0004,0.0,0.0
847.115,1.23952,0.0004,0.0,0.0
848.32,1.2422,0.0004,0.0,0.0
849.525,1.24436,0.0004,0.0,0.0
850.731,1.24313,0.0004,0.0,0.0
851.936,1.24189,0.0004,0.0,0.0
853.141,1.24206,0.0004,0.0,0.0
854.347,1.23661,0.0004,0.0,0.0
855.552,1.23737,0.0004,0.0,0.0
856.758,1.24152,0.0004,0.0,0.0
857.963,1.23863,0.0004,0.0,0.0
859.168,1.23187,0.0004,0.0,0.0
860.374,1.23756,0.0005,0.0,0.0
861.579,1.24143,0.0005,0.0,0.0
862.784,1.23503,0.0005,0.0,0.0
863.99,1.23852,0.0005,0.0,0.0
865.195,1.24452,0.0005,0.0,0.0
866.4,1.23594,0.0005,0.0,0.0
867.606,1.23642,0.0005,0.0,0.0
868.811,1.24335,0.0005,0.0,0.0
870.016,1.24242,0.0005,0.0,0.0
871.222,1.23982,0.0005,0.0,0.0
872.427,1.24148,0.0005,0.0,0.0
873.632,1.24201,0.0005,0.0,0.0
874.838,1.24004,0.0005,0.0,0.0
876.043,1.24107,0.0005,0.0,0.0
877.248,1.24107,0.0006,0.0,0.0
878.454,1.2388,0.0006,0.0,0.0
879.659,1.24342,0.0006,0.0,0.0
880.864,1.24833,0.0006,0.0,0.0
882.07,1.24487,0.0006,0.0,0.0
883.275,1.24789,0.0006,0.0,0.0
884.48,1.25336,0.0006,0.0,0.0
885.686,1.24702,0.0006,0.0,0.0
886.891,1.24431,0.0006,0.0,0.0
888.096,1.25138,0.0006,0.0,0.0
889.302,1.24948,0.0006,0.0,0.0
890.507,1.24881,0.0006,0.0,0.0
891.712,1.25665,0.0006,0.0,0.0
892.918,1.25509,0.0007,0.0,0.0
894.123,1.25159,0.0007,0.0,0.0001
895.328,1.25729,0.0007,0.0,0.0001
896.534,1.26125,0.0007,0.0001,0.0001
897.739,1.25452,0.0007,0.0001,0.0001
898.944,1.2563,0.0007,0.0001,0.0001
900.15,1.26212,0.0007,0.0001,0.0001
901.355,1.25645,0.0007,0.0001,0.0001
902.561,1.25343,0.0007,0.0001,0.0001
903.766,1.26047,0.0007,0.0001,0.0001
904.971,1.26036,0.0007,0.0001,0.0001
906.177,1.2558,0.0007,0.0001,0.0001
907.382,1.25844,0.0008,0.0001,0.0001
908.587,1.26433,0.0008,0.0001,0.0001
909.793,1.26036,0.0008,0.0002,0.0001
910.998,1.25425,0.0008,0.0002,0.0002
912.203,1.2625,0.0008,0.0002,0.0002
913.409,1.2593,0.0008,0.0002,0.0002
914.614,1.25107,0.0008,0.0002,0.0002
915.819,1.25729,0.0008,0.0003,0.0002
917.025,1.25495,0.0008,0.0003,0.0002
918.23,1.24498,0.0008,0.0003,0.0002
919.435,1.25171,0.0008,0.0003,0.0003
920.641,1.25501,0.0009,0.0004,0.0003
921.846,1.24171,0.0009,0.0004,0.0003
923.051,1.23895,0.0009,0.0004,0.0003
924.257,1.24599,0.0009,0.0005,0.0003
925.462,1.23806,0.0009,0.0005,0.0004
926.667,1.2295,0.0009,0.0006,0.0004
927.873,1.23351,0.0009,0.0006,0.0004
929.078,1.23319,0.0009,0.0007,0.0004
930.283,1.21985,0.0009,0.0007,0.0005
931.489,1.21508,0.0009,0.0008,0.0005
932.694,1.2208,0.0009,0.0008,0.0005
933.899,1.21392,0.001,0.0009,0.0006
935.105,1.20561,0.001,0.001,0.0006
936.31,1.20715,0.001,0.001,0.0006
937.515,1.20102,0.001,0.0011,0.0007
938.721,1.18735,0.001,0.0012,0.0007
939.926,1.18781,0.001,0.0013,0.0008
941.131,1.18963,0.001,0.0014,0.0008
942.337,1.1795,0.001,0.0015,0.0009
943.542,1.1757,0.001,0.0016,0.0009
944.747,1.17744,0.001,0.0017,0.001
945.953,1.16742,0.001,0.0018,0.001
947.158,1.15684,0.0011,0.0019,0.0011
948.364,1.15662,0.0011,0.002,0.0011
949.569,1.14721,0.0011,0.0021,0.0012
950.774,1.13529,0.0011,0.0023,0.0012
951.98,1.1347,0.0011,0.0024,0.0013
953.185,1.13299,0.0011,0.0025,0.0014
954.39,1.12131,0.0011,0.0027,0.0014
955.596,1.11245,0.0011,0.0028,0.0015
956.801,1.11323,0.0011,0.003,0.0016
958.006,1.10771,0.0011,0.0031,0.0017
959.212,1.09399,0.0011,0.0033,0.0018
960.417,1.08946,0.0012,0.0034,0.0018
961.622,1.08626,0.0012,0.0036,0.0019
962.828,1.07505,0.0012,0.0038,0.002
964.033,1.06939,0.0012,0.0039,0.0021
965.238,1.06896,0.0012,0.0041,0.0022
966.444,1.05783,0.0012,0.0043,0.0023
967.649,1.04935,0.0012,0.0045,0.0024
968.854,1.04756,0.0012,0.0046,0.0025
970.06,1.04164,0.0012,0.0048,0.0026
971.265,1.03293,0.0012,0.005,0.0027
972.47,1.02789,0.0012,0.0052,0.0028
973.676,1.02551,0.0013,0.0054,0.0029
974.881,1.01317,0.0013,0.0056,0.0031
976.086,1.00385,0.0013,0.0057,0.0032
977.292,1.00176,0.0013,0.0059,0.0033
978.497,0.997542,0.0013,0.0061,0.0034
979.702,0.993081,0.0013,0.0063,0.0036
980.908,0.989156,0.0013,0.0065,0.0037
982.113,0.986644,0.0013,0.0066,0.0038
983.318,0.980409,0.0013,0.0068,0.0039
984.524,0.97429,0.0013,0.007,0.0041
985.729,0.973124,0.0013,0.0071,0.0042
986.934,0.968367,0.0013,0.0073,0.0044
988.14,0.960358,0.0014,0.0075,0.0045
989.345,0.961333,0.0014,0.0076,0.0046
990.551,0.961084,0.0014,0.0078,0.0048
991.756,0.956557,0.0014,0.0079,0.0049
992.961,0.956972,0.0014,0.0081,0.0051
994.167,0.956852,0.0014,0.0082,0.0052
995.372,0.951924,0.0014,0.0084,0.0053
996.577,0.949732,0.0014,0.0086,0.0055
997.783,0.949634,0.0014,0.0088,0.0056
998.988,0.951385,0.0014,0.0089,0.0058
1000.19,0.951865,0.0014,0.0092,0.0059
1001.4,0.949734,0.0015,0.0094,0.0061
1002.6,0.954027,0.0015,0.0096,0.0062
1003.81,0.961035,0.0015,0.0098,0.0064
1005.01,0.960666,0.0015,0.01,0.0065
1006.22,0.962332,0.0015,0.0101,0.0066
1007.42,0.961782,0.0015,0.0102,0.0068
1008.63,0.966739,0.0015,0.0103,0.0069
1009.84,0.968791,0.0015,0.0103,0.0071
1011.04,0.96759,0.0015,0.0103,0.0072
1012.25,0.970108,0.0015,0.0102,0.0073
1013.45,0.974445,0.0016,0.0101,0.0075
1014.66,0.976394,0.0016,0.0099,0.0076
1015.86,0.979329,0.0016,0.0097,0.0077
1017.07,0.980178,0.0016,0.0095,0.0078
1018.27,0.978091,0.0016,0.0093,0.0079
1019.48,0.974427,0.0016,0.0091,0.0081
1020.68,0.975619,0.0016,0.0089,0.0082
1021.89,0.979089,0.0016,0.0088,0.0083
1023.1,0.975316,0.0017,0.0086,0.0084
1024.3,0.96906,0.0017,0.0084,0.0085
1025.51,0.966277,0.0017,0.0083,0.0086
1026.71,0.96464,0.0017,0.0082,0.0087
1027.92,0.959461,0.0017,0.008,0.0088
1029.12,0.956269,0.0017,0.0079,0.0088
1030.33,0.952082,0.0017,0.0078,0.0089
1031.53,0.946623,0.0018,0.0077,0.009
1032.74,0.942746,0.0018,0.0076,0.0091
1033.94,0.940362,0.0018,0.0075,0.0091
1035.15,0.935381,0.0018,0.0074,0.0092
1036.35,0.92927,0.0018,0.0073,0.0092
1037.56,0.923871,0.0019,0.0072,0.0093
1038.76,0.922254,0.0019,0.0071,0.0093
1039.97,0.917184,0.0019,0.007,0.0094
1041.17,0.911957,0.0019,0.0069,0.0094
1042.38,0.908557,0.002,0.0068,0.0094
1043.59,0.902033,0.002,0.0068,0.0095
1044.79,0.896862,0.002,0.0067,0.0095
1046.0,0.894708,0.002,0.0066,0.0095
1047.2,0.891616,0.0021,0.0066,0.0096
1048.41,0.883082,0.0021,0.0065,0.0096
1049.61,0.880091,0.0021,0.0065,0.0096
1050.82,0.880115,0.0022,0.0065,0.0096
1052.02,0.874497,0.0022,0.0065,0.0096
1053.23,0.866893,0.0022,0.0065,0.0096
1054.43,0.863836,0.0023,0.0065,0.0097
1055.64,0.859893,0.0023,0.0065,0.0097
1056.84,0.855098,0.0024,0.0065,0.0097
1058.05,0.855372,0.0024,0.0065,0.0097
1059.26,0.852468,0.0025,0.0066,0.0097
1060.46,0.844272,0.0025,0.0066,0.0098
1061.67,0.838229,0.0026,0.0067,0.0098
1062.87,0.835088,0.0026,0.0068,0.0098
1064.08,0.831955,0.0027,0.0069,0.0099
1065.28,0.828455,0.0027,0.007,0.0099
1066.49,0.825959,0.0028,0.0071,0.01
1067.69,0.823822,0.0029,0.0072,0.01
1068.9,0.81777,0.0029,0.0074,0.0101
1070.1,0.814691,0.003,0.0075,0.0102
1071.31,0.813062,0.0031,0.0077,0.0103
1072.51,0.816133,0.0032,0.0079,0.0104
1073.72,0.817578,0.0033,0.0081,0.0106
1074.92,0.815146,0.0034,0.0083,0.0108
1076.13,0.811611,0.0035,0.0085,0.0111
1077.34,0.807711,0.0036,0.0087,0.0114
1078.54,0.803297,0.0037,0.009,0.0117
1079.75,0.804401,0.0039,0.0092,0.0122
1080.95,0.805775,0.0041,0.0096,0.0127
1082.16,0.803687,0.0043,0.0099,0.0134
1083.36,0.803268,0.0045,0.0104,0.0141
1084.57,0.802288,0.0048,0.0109,0.0149
1085.77,0.800805,0.0051,0.0114,0.0158
1086.98,0.803407,0.0054,0.012,0.0171
1088.18,0.803311,0.0057,0.0126,0.0183
1089.39,0.801624,0.006,0.0132,0.0187
1090.59,0.798473,0.0063,0.0138,0.0187
1091.8,0.797864,0.0065,0.0143,0.0189
1093.01,0.79658,0.0068,0.0147,0.0191
1094.21,0.794719,0.0069,0.015,0.0193
1095.41,0.793968,0.007,0.0151,0.0194
1096.62,0.794486,0.0071,0.0152,0.0195
1097.83,0.79404,0.0071,0.0151,0.0195
1099.03,0.79261,0.0071,0.0149,0.0195
1100.24,0.783841,0.0071,0.0148,0.0196
1101.44,0.779114,0.0071,0.0146,0.0198
1102.65,0.774956,0.0071,0.0144,0.0201
1103.85,0.774859,0.0071,0.0143,0.0205
1105.06,0.773473,0.0071,0.0142,0.021
1106.26,0.773636,0.0071,0.0141,0.0216
1107.47,0.769657,0.0072,0.0141,0.0223
1108.67,0.766334,0.0073,0.0142,0.0231
1109.88,0.761996,0.0075,0.0142,0.0241
1111.09,0.756551,0.0076,0.0143,0.0251
1112.29,0.755337,0.0078,0.0144,0.0262
1113.49,0.75007,0.008,0.0145,0.0273
1114.7,0.747206,0.0082,0.0145,0.0285
1115.91,0.744682,0.0084,0.0146,0.0298
1117.11,0.739205,0.0086,0.0147,0.031
1118.32,0.735711,0.0088,0.0148,0.0323
1119.52,0.732935,0.0091,0.0148,0.0336
1120.73,0.730715,0.0093,0.0149,0.0348
1121.93,0.729044,0.0095,0.015,0.0359
1123.14,0.729741,0.0098,0.0151,0.0369
1124.34,0.723653,0.01,0.0152,0.0379
1125.55,0.726,0.0102,0.0153,0.0386
1126.75,0.723303,0.0105,0.0154,0.0392
1127.96,0.719625,0.0107,0.0155,0.0397
1129.16,0.720256,0.011,0.0157,0.0399
1130.37,0.717851,0.0112,0.0158,0.04
1131.58,0.716993,0.0115,0.016,0.0399
1132.78,0.717142,0.0117,0.0162,0.0396
1133.99,0.719094,0.012,0.0165,0.0392
1135.19,0.720867,0.0122,0.0168,0.0387
1136.4,0.718183,0.0125,0.0171,0.0381
1137.6,0.716378,0.0127,0.0175,0.0374
1138.81,0.715502,0.013,0.0179,0.0367
1140.01,0.717376,0.0132,0.0183,0.0359
1141.22,0.718502,0.0135,0.0188,0.0351
1142.42,0.714836,0.0138,0.0193,0.0344
1143.63,0.716558,0.014,0.0199,0.0336
1144.83,0.719698,0.0143,0.0205,0.0329
1146.04,0.718974,0.0146,0.0212,0.0322
1147.24,0.717653,0.0148,0.0219,0.0316
1148.45,0.717192,0.0151,0.0226,0.0311
1149.66,0.717584,0.0154,0.0233,0.0305
1150.86,0.72187,0.0156,0.0241,0.03
1152.07,0.719977,0.0159,0.0249,0.0296
1153.27,0.719473,0.0162,0.0257,0.0292
1154.48,0.723791,0.0165,0.0265,0.0288
1155.68,0.72045,0.0169,0.0273,0.0284
1156.89,0.72321,0.0172,0.0281,0.028
1158.09,0.726123,0.0176,0.0288,0.0277
1159.3,0.726633,0.018,0.0296,0.0274
1160.5,0.723598,0.0184,0.0303,0.027
1161.71,0.724592,0.0188,0.0309,0.0267
1162.91,0.723379,0.0192,0.0315,0.0264
1164.12,0.72346,0.0197,0.032,0.0261
1165.33,0.726142,0.0202,0.0325,0.0258
1166.53,0.728128,0.0207,0.0329,0.0255
1167.74,0.727351,0.0213,0.0332,0.0252
1168.94,0.725058,0.0218,0.0335,0.0249
1170.15,0.724869,0.0223,0.0336,0.0246
1171.35,0.72603,0.0229,0.0337,0.0243
1172.56,0.728801,0.0234,0.0336,0.024
1173.76,0.731411,0.0239,0.0335,0.0237
1174.97,0.73372,0.0243,0.0333,0.0235
1176.17,0.736052,0.0247,0.0331,0.0232
1177.38,0.739032,0.0251,0.0327,0.023
1178.58,0.742414,0.0255,0.0323,0.0227
1179.79,0.742065,0.0258,0.0319,0.0225
1180.99,0.738347,0.026,0.0313,0.0222
1182.2,0.740654,0.0262,0.0308,0.022
1183.4,0.748215,0.0264,0.0302,0.0218
1184.61,0.751485,0.0266,0.0296,0.0215
1185.82,0.750352,0.0267,0.029,0.0213
1187.02,0.750976,0.0268,0.0284,0.0211
1188.23,0.753167,0.0269,0.0277,0.0209
1189.43,0.759023,0.027,0.0271,0.0207
1190.64,0.760834,0.0271,0.0265,0.0205
1191.84,0.758308,0.0272,0.026,0.0203
1193.05,0.762477,0.0274,0.0254,0.0201
1194.25,0.765373,0.0275,0.0249,0.0199
1195.46,0.766669,0.0277,0.0244,0.0196
1196.66,0.768477,0.0278,0.024,0.0194
